rank,votes,title,category,authors,avg_rating,pages,published,publisher,5stars,4stars,3stars,2stars,1stars,ratings
1,98291,"The Testaments (The Handmaid's Tale, #2)",Fiction,Margaret Atwood,4.22,422,2019-09-10,Nan A. Talese,61651,52900,20227,4151,998,139927
2,40081,Normal People,Fiction,Sally Rooney,3.86,273,,None,58696,74298,43656,13951,4650,195251
3,29342,Where the Forest Meets the Stars,Fiction,Glendy Vanderah,4.15,332,2019-03-01,Lake Union Publishing,25540,22578,9464,2019,900,60501
4,26653,"Ask Again, Yes",Fiction,Mary Beth Keane,4.02,390,2019-05-28,Scribner,20140,33715,13271,2033,477,69636
5,21524,Queenie,Fiction,Candice Carty-Williams,3.76,330,2019-03-19,Gallery/Scout Press,6949,13067,8382,2117,561,31076
6,21177,On Earth We're Briefly Gorgeous,Fiction,Ocean Vuong,4.07,246,2019-06-04,Penguin Press,15799,14222,7135,1966,639,39761
7,20211,A Woman Is No Man,Fiction,Etaf Rum,4.24,336,2019-03-05,Harper,18911,16792,5760,1070,311,42844
8,15892,The Overdue Life of Amy Byler,Fiction,Kelly Harms,3.88,332,2019-05-01,Lake Union Publishing,13667,20795,11888,2453,903,49706
9,15767,"Olive, Again",Fiction,Elizabeth Strout,4.21,289,2019-10-15,Random House,14335,12175,4462,1001,348,32321
10,12291,The Most Fun We Ever Had,Fiction,Claire Lombardo,4.03,532,2019-06-25,Doubleday Books,8673,10851,4561,1044,396,25525
11,6069,The Bookish Life of Nina Hill,Fiction,Abbi Waxman,3.85,333,2019-07-09,Berkley Books,8022,14170,8349,1651,409,32601
12,5679,The Last Romantics,Fiction,Tara Conklin,3.75,354,2019-02-05,William Morrow,5308,11650,7650,1667,323,26598
13,5517,Red at the Bone,Fiction,Jacqueline Woodson,4.02,196,2019-09-17,Riverhead Books,7051,9200,4294,822,238,21605
14,5065,When All Is Said,Fiction,Anne  Griffin,4.06,326,2019-03-05,Thomas Dunne Books,7217,7592,3600,796,289,19494
15,4932,The Gifted School,Fiction,Bruce Holsinger,3.77,450,2019-07-02,Riverhead,3670,9198,5632,1009,205,19714
16,3591,Fleishman Is in Trouble,Fiction,Taffy Brodesser-Akner,3.71,373,2019-06-18,Random House,7927,12121,8636,2840,969,32493
17,2787,"Find Me (Call Me By Your Name, #2)",Fiction,André Aciman,3.35,260,2019-10-29,"Farrar, Straus and Giroux",2493,4013,4399,2335,883,14123
18,1486,The Reckless Oath We Made,Fiction,Bryn Greenwood,4.02,436,2019-08-20,G.P. Putnam's Sons,1984,2354,1035,262,108,5743
19,1413,"Girl, Woman, Other",Fiction,Bernardine Evaristo,4.44,,,None,10406,5580,1506,347,122,17961
20,1238,Lanny,Fiction,Max Porter,4.14,213,2019-05-14,Graywolf Press,4278,3752,1527,440,166,10163
1,68821,The Silent Patient,Mystery & Thriller,Alex Michaelides,4.07,325,2019-02-05,Celadon Books,106223,119339,50682,11158,3797,291199
2,52097,"My Sister, the Serial Killer",Mystery & Thriller,Oyinkan Braithwaite,3.76,226,2018-11-20,Doubleday Books,18016,42743,27117,5068,1262,94206
3,31822,The Turn of the Key,Mystery & Thriller,Ruth Ware,3.95,337,2019-08-06,Gallery/Scout Press,22374,35925,16972,3275,906,79452
4,23526,The Lost Man,Mystery & Thriller,Jane Harper,4.19,340,2019-02-05,Flatiron Books,16878,20875,5911,836,261,44761
5,19692,An Anonymous Girl,Mystery & Thriller,"Greer Hendricks, Sarah Pekkanen",3.83,375,2019-01-08,St. Martin's Press,19503,35234,21127,4595,1105,81564
6,19627,The Whisper Man,Mystery & Thriller,Alex North,4.07,355,2019-08-20,Celadon Books,14086,17906,7426,1359,336,41113
7,18561,Run Away,Mystery & Thriller,Harlan Coben,4.06,371,2019-03-19,Grand Central Publishing,11503,15172,6348,1023,350,34396
8,17079,Lock Every Door,Mystery & Thriller,Riley Sager,3.94,371,2019-07-02,Dutton Books,13602,19508,9770,2345,576,45801
9,14859,Miracle Creek,Mystery & Thriller,Angie  Kim,3.91,355,2019-04-16,Sarah Crichton Books,7623,13730,6710,1278,391,29732
10,13804,The Mother-in-Law,Mystery & Thriller,Sally Hepworth,3.99,340,2019-04-23,St. Martin's Press,13999,24939,9904,1576,560,50978
11,7245,"A Better Man (Chief Inspector Armand Gamache, #15)",Mystery & Thriller,Louise Penny,4.34,437,2019-08-27,Minotaur Books,11936,8815,2657,402,114,23924
12,6743,The Family Upstairs,Mystery & Thriller,Lisa Jewell,4,340,2019-11-05,Atria Books,17051,26873,11771,2038,495,58228
13,6275,The Chain,Mystery & Thriller,Adrian McKinty,3.82,357,2019-07-09,Mulholland Books,7138,11450,7146,1746,538,28018
14,4940,Disappearing Earth,Mystery & Thriller,Julia  Phillips,3.92,264,2019-05-14,Knopf,5017,6747,3594,966,261,16585
15,3582,Searching for Sylvie Lee,Mystery & Thriller,Jean Kwok,3.66,336,2019-06-04,William Morrow,3168,7733,5907,1299,277,18384
16,3412,I'll Never Tell,Mystery & Thriller,Catherine McKenzie,3.76,355,2019-06-01,Lake Union Publishing,2909,5093,3577,871,227,12677
17,2806,"The Night Fire (Harry Bosch #22; Renée Ballard, #3; Harry Bosch Universe, #32)",Mystery & Thriller,Michael Connelly,4.32,405,2019-10-22,"Little, Brown and Company",11220,9612,2572,293,113,23810
18,2736,"The Last Widow (Will Trent, #9)",Mystery & Thriller,Karin Slaughter,4.11,446,2019-08-20,William Morrow,7151,7248,2949,642,319,18309
19,2697,My Lovely Wife,Mystery & Thriller,Samantha  Downing,3.9,374,2019-03-26,Berkley Books,13841,19430,10082,2642,1014,47009
20,1772,The Line Between (The Line Between #1),Mystery & Thriller,Tosca Lee,4.1,384,2019-01-29,Howard Books,918,1117,453,73,21,2582
1,82483,Daisy Jones & The Six,Historical Fiction,Taylor Jenkins Reid,4.21,355,2019-03-05,Ballantine Books,78695,66588,25209,5408,1674,177574
2,29362,The Nickel Boys,Historical Fiction,Colson Whitehead,4.26,213,2019-07-16,Doubleday Books,28205,25056,7961,1318,456,62996
3,25851,The Huntress,Historical Fiction,Kate Quinn,4.27,549,2019-02-26,William Morrow,22242,21186,5961,946,319,50654
4,25671,City of Girls,Historical Fiction,Elizabeth Gilbert,4.05,470,2019-06-04,Riverhead,33663,38264,17402,3736,1204,94269
5,24250,The Giver of Stars,Historical Fiction,Jojo Moyes,4.31,400,2019-10-08,Pamela Dorman Books,37333,32142,8584,1279,473,79811
